# sign Index; sign code;  Info;  IsOrdered
# 特征码位置索引; 特征码;  壳/编译器名称;  是否从头往下查询（如果有位置索引请置0）

# Added
01060708090A0B0C0D0E0F;B85064FF35000000006489;PeCompact v2.08 -> Bitsum Technologies;0
0102030405070C111617;558BEC83C4B8E8E88D40;Borland Delphi DLL;0
0106090A;E8E9FFFF;Micorsoft Visual C++ 2005/2008;0
010203040506;FF2500204000;Microsoft Visual C# / Basic .NET;0


01020304050607090B0C;8B4424085683E8744875;Microsoft Visual C++ Private Version 2;0
010203040508;8B4424088374;Microsoft Visual C++ Private Version 1;0
0102030408090D;6A00FF1500A300;FASM 1.3x;0
01020307080C;6A00E800A300;MASM32 / TASM32;0
0102030405060708090E0F10111213;558BEC83EC4456FF156A018BF0FF15;Microsoft Visual C++ 6.0 SPx Method 2;0
0102030405060708090E0F101213;558BEC83EC4456FF158BF08A3C22;Microsoft Visual C++ 6.0 SPx Method 1;0
010203040708090A0B0C0D0E15161718191A1B1C1D1E1F20;EB16A8544741424C4B43474352495300FC684C704000FF15;WARNING -> VIRUS -> I-Worm HYBRIS;0
010203040506070809;60E8000000005DEB26;PE-Crypter -> Zero Coder;0
0102030405121314151617181D1E1F;E912000000E9FBFFFFFFC36864FF35;ZCode 1.01 -> Giuliano Bertoletti;0
0102030405060708090E11121314191A1B;60E8000000005D81EDB900008DBD8BF7AC;yoda's cryptor 1.x / modified;0
0102030C0D0E0F1415161B1C1D222324252628292A2B2C2D2E2F34353A3B3C3D424344;9371088BD878E29C33C36079CEE80100000083C404E8ABFFFFFF2BE803C5FF30C600EB;XCR 0.13 -> X-Lock;0
0102030405060708090A0B0C1112;609CE8000000008BDD5D81ED899D;XCR 0.12 -> X-Lock;0
0102030405060708090B0C0D0E0F101112131415161718191A1B1C1D1E1F2021222324252628292A2B;558BEC83EC4456FF151000018BF08A063C2275148A46014684C074043C2275F4803E22750DEB0A3C20;Microsoft CAB SFX module;0
0102030708090A0B0C0D0E0F101112131415161718191A1B1C1D1E1F202122232425262728292E2F;53FF1500B3223818740380C3FE8A48014033D23ACA740A3ACB74068A480140EBF23810740140FF15;WinZip 32-bit SFX 8.x module;0
0102060708090A0B0C0D0E0F101112131415161718191A1B1C1D1E1F202122232425262B2C;FF1500B12238087402B120408038007410380874064080380075F680380074014033C9FF15;WinZip 32-bit SFX 6.x module;0
0102030405090A0B0F101112131415161718191A1B1C1D1E1F202122232425262728;33C08BB8008B900485FF741B33C950EB0C8A0439C0C804341B880439413BCA72F058;Winkript 1.0 -> Mr. Crimson/WKT;0
01060B0C0D0E0F101112131415161718191A1B1C1D1E1F2021;B8B933D2EB010F56EB010FE803000000EB010FEB010F5EEB01;UPX + ECLiPSE layer -> TEAM ECLiPSE;0
0102030405060708090A0B0C0D0E0F1011131415161718191A1B1C1D1E1F202122242526272B;79070FB707475047B95748F2AE55FF9684000009C07407890383C304EBD8FF9688000061E9FF;UPX modified stub -> SAC/uNPACKinG gODS;0
01020405060708090A0B0C0D0F1011121314151618191A1B1C1D1E1F202122232425;01DB078B1E83EEFC11DB8A07EBB80100000001DB078B1E83EEFC11DB11C001DB73EF;UPX 1.03 - 1.04 modified -> Markus & Lazlo;0
01020405060708090A0B0D0E0F1011121314161718191A1B1C1D1E1F20212224;01DB078B1E83EEFC11DBEDB80100000001DB078B1E83EEFC11DB11C001DB7375;UPX 0.89.6 - 1.02 / 1.05 - 1.22 modified -> Markus & Lazlo;0
01020405060708090A0B0D0E0F1011121314161718191A1B1C1D1E1F20212223;01DB078B1E83EEFC11DBEDB80100000001DB078B1E83EEFC11DB11C001DB77EF;UPX 0.81 - 0.84 modified -> Markus & Lazlo;0
010207080D0E1718191A1B1C2122232425262728292A2B;60BE8DBEC7875783CDFFEB0E8A064688074701DB75078B;UPX 0.89.6 - 1.02 / 1.05 - 1.22 (Delphi) stub -> Markus & Lazlo;0
191A1B1C1D1E1F202122232425262728292A2B2C2D2E2F303132333435363738393A3B3C3D3E3F40414244464748494A;8A064688074701DB75078B1E83EEFC11DB8A0772EBB80100000001DB75078B1E83EEFC11DB11C001DB73758B1E83EEFC;UPX 1.03 - 1.04 -> Markus & Lazlo;0
191A1B1C1D1E1F202122232425262728292A2B2C2D3132333435363738393A3B3C3D3E3F40424445464748;8A064688074701DB75078B1E83EEFC11DB72EDB80101DB75078B1E83EEFC11DB11C001DB73758B1E83EEFC;UPX 0.89.6 - 1.02 / 1.05 - 1.22 -> Markus & Lazlo;0
191A1B1C1D1E1F202122232425262728292A2B2C2D3132333435363738393A3B3C3D3E3F404142434445464748;8A064688074701DB75078B1E83EEFC11DB72EDB80101DB75078B1E83EEFC11DB11C001DB77EF75098B1E83EEFC;UPX 0.80 - 0.84 -> Markus & Lazlo;0
010203040506070B0C0D121318191A1B;807C2408010F850060BE8DBE5783CDFF;UPX 0.89.6 - 1.02 / 1.05 - 1.22 DLL -> Markus & Lazlo;0
01020708090A0B0C0D0E0F10;EBEC8A064688074701DB7507;UPX Protector 1.0x -> BlindAngel/TMG;0
010207080D0E0F;50BE8DBE5783CD;UPX MODifier 0.1x -> snaker;0
01020308090E0F1011;9061BE8DBE5783CDFF;UPX-Scrambler RC1.x -> ;0
0102030405060708090A0B0C0D0E0F12131415161D1E1F202324292A2B2C2D2E2F303132;60E80000000083CDFF31DB5E8DBEFAFF5766818781C6B301EB0A8A064688074701DB7507;UPX 0.71 - 0.72 -> Markus & Lazlo;0
0102030405060708090A0B0C0D11121314151C1D1E1F22232425262728292A2B2C2D2E2F30313233;60E8000000005883E83D508DB8FF576681878DB0EC0183CDFF31DBEB07908A064688074701DB7507;UPX 0.70 -> Markus & Lazlo;0
0102030405060708090A0B0C0D11121314151C1D1E1F22232425262728292A2B2C2D2E2F3031323334353637;60E8000000005883E83D508DB8FF576681878DB0F00183CDFF31DB909090EB0890908A064688074701DB7507;UPX 0.62 -> Markus & Lazlo;0
0102030405060708090A0B0C0D111213141516191A1B1C1D22232425262728292A2B2C2D2E2F3031323334353637;60E8000000005883E83D508DB8FF578DB0D80183CDFF31DB01DB75078B1E83EEFC11DB730B8A0646880747EBEB90;UPX 0.51 -> Markus & Lazlo;0
010203040510131C;E97EE9FFFFC80018;tElock 0.92 -> tE!;0
030405060708090A0B0C0F101112131415161718191A;E802000000E800E800005E2BC9587402CD20B9FF1000;tElock 0.90 -> tE!;0
010205060708;60E80000C383;tElock 0.7x - 0.84 -> tE!;0
0102030405060708090A0B0C0D0E0F101112131415161718191A1B1C1D1E1F202122232425262728292A2B2C2D2E2F30;E90000000060E8000000005883C008F3EBFFE083C02850E8000000005EB3338D460E8D76312818F87300C38BFEB9BE01;tElock 0.60 -> tE!tElock 0.61 -> tE!tElock 0.6x -> tE!tElock 0.70 -> tE!;0
0102030405060708090A0B0C0D0E0F1011121314151618191A1B1C1F2021;C1EE00668BC9EB01EB60EB01EB9CE8000000005E83C68BFE68790159EB01;tElock 0.4x - 0.5x -> tE!;0
0102030405060708090A0B0C0D0E0F101112131415161718191A1B1C1F202122232425262A2B2C;668BC08D2424EB01EB60EB01EB9CE8000000005E83C6508BFE68780159EB01EBAC54E8035CEB08;tElock 0.41x -> tE!;0
01020308090A0B0C0D10111215161718191A1F202122232425262728292A2B;648B05558BEC6AFF6840006840005064892583EC08505356578965E8C745FC;Symantec Visual Cafe 3.0;0
0102030405060708090A0B0C0D0E0F10111314151617191A1B1C1E1F2021222324262728292A2C;535152565755E8000000005D81ED423040FF95323540B837304003C52B851B3440898527344083;Stone's PE Encryptor 2.0;0
0102030405060708090A0B0C0D0E0F1011121315161718191B1C1D1E1F20212224252627282A2B2C;555756525153E8000000005D8BD581ED633A402B95C23A4083EA0B8995CB3A408DB5CA3A400FB636;Stone's PE Encryptor 1.0;0
0102030405060708090A0B0C0D0E131415161718191A1B1C;9C608B442424E8000000005D81ED50E8ED0200008CC00F84;Spalsher 1.0 - 3.0 Tola/Amok;0
010206070B0C0D0E0F10121314151617191A;60B800B8008A140880F28814084183F975F1;SmokesCrypt 1.2 -> Smoke;0
01020308090A0B0C0D0E0F1011121314161718191A1B1C1D1E1F202425262728292A2B2C2D2E2F;833DB4558BEC5657756B6800010000E80B000083C4048B7508A3B485F67423837D0C03771D68FF;Shrinker 3.4 -> Blink Inc.;0
0102060708090A0B0C0D0E0F1011121314;833D0000558BEC565775656800010000E8;Shrinker 3.3 -> Blink Inc.;0
010208090A0B0C0D0E0F101114161718191A1B1C1D1E1F242526272829;833D558BEC56577565680001E8E6FFFF83C4048B7508A385F6741D68FF;Shrinker 3.2 -> Blink Inc.;0
0102030405060708090A0B0C0D0E0F1011121315161718191B1C1D1E1F2021222425262728292A2B2C;5B535045435DE8000000005D8BC581ED4124402B8589264083E80B89858D26400FB6B5912640008BFD;SPEC b3 -> Hayras;0
0102030405060708090A0B0C0D0E1314191A1B1C1D2223;55575153E8000000005D8BC581ED2B8583E80989850FB6;SPEC b2 -> Hayras;0
0102030405060708090A0C0D0E0F10111213141516;4020FF00000000000000BE006040008DBE00B0FFFF;RatPacker (glue) stub;0
01020304090A0B0C0D0E0F101112131415161718191A1B1C1D1E;558BECA185C07409B8010000005DC20C008B450C5756538B5D10;PKLITE32 1.1 -> PKWARE Inc.;0
